SUBMISSIONYEARQUARTER,PWSID,SERVICE_AREA_TYPE_CODE,IS_PRIMARY_SERVICE_AREA_CODE,FIRST_REPORTED_DATE,LAST_REPORTED_DATE
2025Q1,GA0310152,SS,,,07/22/1995
2025Q1,GA0310154,OA,,,07/22/1995
2025Q1,GA0310155,SS,,,07/22/1995
2025Q1,GA0310156,SC,Y,,03/20/2025
2025Q1,GA0310158,RS,,,07/22/1995
2025Q1,GA0310160,OA,,,07/22/1995
2025Q1,GA0310161,OA,,,07/22/1995
2025Q1,GA0310162,IA,Y,,05/18/2006
2025Q1,GA0310164,DC,Y,,07/22/1995
2025Q1,GA0310165,SU,Y,,03/20/2025
2025Q1,GA0310166,SU,Y,,03/20/2025
2025Q1,GA0310167,SU,Y,,03/20/2025
2025Q1,GA0310168,SU,Y,,03/20/2025
2025Q1,GA0310169,SU,Y,,03/20/2025
2025Q1,GA0310170,SU,Y,,03/20/2025
2025Q1,GA0310171,SU,Y,,03/20/2025
2025Q1,GA0310172,SU,Y,,03/20/2025
2025Q1,GA0310173,MP,Y,,03/20/2025
2025Q1,GA0310174,MP,Y,,03/20/2025
2025Q1,GA0310175,MP,Y,,03/07/2003
2025Q1,GA0310176,SS,Y,,02/21/2018
2025Q1,GA0310177,SU,Y,,03/20/2025
2025Q1,GA0310178,MP,Y,,03/20/2025
2025Q1,GA0310179,MH,Y,,07/22/1995
2025Q1,GA0310180,SU,Y,,03/20/2025
2025Q1,GA0310182,RA,Y,,07/22/1995
2025Q1,GA0310183,SU,Y,,03/20/2025
2025Q1,GA0310184,SU,Y,,03/20/2025
2025Q1,GA0310185,SU,Y,,03/20/2025
2025Q1,GA0310187,MP,Y,,03/20/2025
2025Q1,GA0310188,SU,Y,,03/20/2025
2025Q1,GA0310189,MP,Y,,03/20/2025
2025Q1,GA0310190,SU,Y,,03/20/2025
2025Q1,GA0310191,SU,Y,,03/20/2025
2025Q1,GA0310192,SU,Y,,03/20/2025
2025Q1,GA0310193,MP,Y,,12/03/2008
2025Q1,GA0310194,MP,Y,,03/20/2025
2025Q1,GA0310195,SU,Y,,03/20/2025
2025Q1,GA0310196,IA,Y,,08/22/2006
2025Q1,GA0310197,MP,Y,,03/20/2025
2025Q1,GA0310198,MP,Y,,03/20/2025
2025Q1,GA0310199,MP,Y,,03/20/2025
2025Q1,GA0310200,SU,Y,,03/20/2025
2025Q1,GA0310201,MP,Y,,03/20/2025
2025Q1,GA0310202,SU,Y,,03/20/2025
2025Q1,GA0310203,SU,Y,,03/20/2025
2025Q1,GA0310204,SU,Y,,03/20/2025
2025Q1,GA0310205,SU,Y,,03/20/2025
2025Q1,GA0310206,SU,Y,,03/20/2025
2025Q1,GA0310207,SU,Y,,03/20/2025
2025Q1,GA0310208,SU,Y,08/25/2008,03/20/2025
2025Q1,GA0310209,RS,Y,,08/19/2014
2025Q1,GA0310210,HM,Y,,03/20/2025
2025Q1,GA0310211,SU,Y,,03/20/2025
2025Q1,GA0310212,SU,Y,,03/20/2025
2025Q1,GA0310215,SU,Y,,03/20/2025
2025Q1,GA0310216,SU,Y,,03/20/2025
2025Q1,GA0310219,SU,Y,,03/20/2025
2025Q1,GA0310220,SU,Y,,03/20/2025
2025Q1,GA0310221,OR,Y,,03/20/2025
2025Q1,GA0310222,SU,Y,,03/20/2025
2025Q1,GA0310223,MP,Y,,03/20/2025
2025Q1,GA0310224,SU,Y,,11/19/2002
2025Q1,GA0310225,HM,Y,,03/20/2025
2025Q1,GA0310227,SU,Y,,03/20/2025
2025Q1,GA0310228,SU,Y,,03/20/2025
2025Q1,GA0310229,MH,Y,,03/20/2025
2025Q1,GA0310230,SU,Y,,03/20/2025
2025Q1,GA0310231,MH,Y,09/27/2018,03/20/2025
2025Q1,GA0310232,SU,Y,,03/20/2025
2025Q1,GA0310233,SU,Y,,08/29/2007
2025Q1,GA0310235,SU,Y,,03/20/2025
2025Q1,GA0310237,SU,Y,,03/20/2025
2025Q1,GA0310238,MH,Y,11/15/2005,03/20/2025
2025Q1,GA0310239,MH,Y,03/28/2023,03/20/2025
2025Q1,GA0310242,SU,Y,,03/20/2025
2025Q1,GA0310243,SU,Y,02/25/2008,03/20/2025
2025Q1,GA0310245,SU,Y,12/03/2008,03/20/2025
2025Q1,GA0310246,SU,Y,05/18/2006,03/20/2025
